"id","A_Kanton","D_Jahr","D_Forstzone","D_Eigentümertyp","D_Holzartengruppe","M_Holzernte.Total","M_Stammholz","M_Industrieholz","M_Energieholz.Total","M_Stück.Energieholz","M_X...Hack.Energieholz","M_Übrige.Sortimente"
26,"Jura",2019,"Schweiz","Eigentümertyp - Total","Laubholz","89416","25441","26758","37217","14485","22732","0"
26,"Jura",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","159491","62570","46641","50280","13715","36565","0"
26,"Jura",2019,"Schweiz","Öffentliche Wälder","Nadelholz","76639","39164","21917","15558","1721","13837","0"
26,"Jura",2019,"Schweiz","Öffentliche Wälder","Laubholz","82852","23407","24723","34722","11994","22728","0"
26,"Jura",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","15356","7842","4145","3369","3364","5","0"
26,"Jura",2019,"Schweiz","Privatwälder","Nadelholz","8792","5807","2111","874","873","1","0"
26,"Jura",2019,"Schweiz","Privatwälder","Laubholz","6564","2034","2035","2495","2491","4","0"
1,"Zürich",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
1,"Zürich",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
1,"Zürich",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
1,"Zürich",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
1,"Zürich",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
1,"Zürich",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
1,"Zürich",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
1,"Zürich",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
1,"Zürich",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
2,"Bern / Berne",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","111877","55696","27604","28577","12900","15677","0"
2,"Bern / Berne",2019,"Jura","Eigentümertyp - Total","Nadelholz","70683","48416","13723","8544","1996","6548","0"
2,"Bern / Berne",2019,"Jura","Eigentümertyp - Total","Laubholz","41194","7280","13881","20033","10904","9129","0"
2,"Bern / Berne",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","94364","41546","27444","25374","9980","15394","0"
2,"Bern / Berne",2019,"Jura","Öffentliche Wälder","Nadelholz","57630","36530","13707","7393","862","6531","0"
2,"Bern / Berne",2019,"Jura","Öffentliche Wälder","Laubholz","36734","5016","13737","17981","9118","8863","0"
2,"Bern / Berne",2019,"Jura","Privatwälder","Holzartengruppe - Total","17513","14150","160","3203","2920","283","0"
2,"Bern / Berne",2019,"Jura","Privatwälder","Nadelholz","13053","11886","16","1151","1134","17","0"
2,"Bern / Berne",2019,"Jura","Privatwälder","Laubholz","4460","2264","144","2052","1786","266","0"
3,"Luzern",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
3,"Luzern",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
3,"Luzern",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
3,"Luzern",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
3,"Luzern",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
3,"Luzern",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
3,"Luzern",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
3,"Luzern",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
3,"Luzern",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
4,"Uri",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
4,"Uri",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
4,"Uri",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
4,"Uri",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
4,"Uri",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
4,"Uri",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
4,"Uri",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
4,"Uri",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
4,"Uri",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
5,"Schwyz",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
5,"Schwyz",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
5,"Schwyz",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
5,"Schwyz",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
5,"Schwyz",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
5,"Schwyz",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
5,"Schwyz",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
5,"Schwyz",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
5,"Schwyz",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
6,"Obwalden",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
6,"Obwalden",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
6,"Obwalden",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
6,"Obwalden",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
6,"Obwalden",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
6,"Obwalden",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
6,"Obwalden",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
6,"Obwalden",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
6,"Obwalden",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
7,"Nidwalden",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
7,"Nidwalden",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
7,"Nidwalden",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
7,"Nidwalden",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
7,"Nidwalden",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
7,"Nidwalden",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
7,"Nidwalden",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
7,"Nidwalden",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
7,"Nidwalden",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
8,"Glarus",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
8,"Glarus",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
8,"Glarus",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
8,"Glarus",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
8,"Glarus",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
8,"Glarus",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
8,"Glarus",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
8,"Glarus",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
8,"Glarus",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
9,"Zug",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
9,"Zug",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
9,"Zug",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
9,"Zug",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
9,"Zug",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
9,"Zug",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
9,"Zug",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
9,"Zug",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
9,"Zug",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
10,"Fribourg / Freiburg",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
10,"Fribourg / Freiburg",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
10,"Fribourg / Freiburg",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
10,"Fribourg / Freiburg",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
10,"Fribourg / Freiburg",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
10,"Fribourg / Freiburg",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
10,"Fribourg / Freiburg",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
10,"Fribourg / Freiburg",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
10,"Fribourg / Freiburg",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
11,"Solothurn",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","116890","36361","23750","56726","23564","33162","53"
11,"Solothurn",2019,"Jura","Eigentümertyp - Total","Nadelholz","42684","24787","8285","9589","1926","7663","23"
11,"Solothurn",2019,"Jura","Eigentümertyp - Total","Laubholz","74206","11574","15465","47137","21638","25499","30"
11,"Solothurn",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","97906","32165","21989","43699","10537","33162","53"
11,"Solothurn",2019,"Jura","Öffentliche Wälder","Nadelholz","37990","22250","7830","7887","224","7663","23"
11,"Solothurn",2019,"Jura","Öffentliche Wälder","Laubholz","59916","9915","14159","35812","10313","25499","30"
11,"Solothurn",2019,"Jura","Privatwälder","Holzartengruppe - Total","18984","4196","1761","13027","13027","0","0"
11,"Solothurn",2019,"Jura","Privatwälder","Nadelholz","4694","2537","455","1702","1702","0","0"
11,"Solothurn",2019,"Jura","Privatwälder","Laubholz","14290","1659","1306","11325","11325","0","0"
12,"Basel-Stadt",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","3300","450","251","2599","0","2599","0"
12,"Basel-Stadt",2019,"Jura","Eigentümertyp - Total","Nadelholz","228","150","63","15","0","15","0"
12,"Basel-Stadt",2019,"Jura","Eigentümertyp - Total","Laubholz","3072","300","188","2584","0","2584","0"
12,"Basel-Stadt",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","3300","450","251","2599","0","2599","0"
12,"Basel-Stadt",2019,"Jura","Öffentliche Wälder","Nadelholz","228","150","63","15","0","15","0"
12,"Basel-Stadt",2019,"Jura","Öffentliche Wälder","Laubholz","3072","300","188","2584","0","2584","0"
12,"Basel-Stadt",2019,"Jura","Privatwälder","Holzartengruppe - Total","0","0","0","0","0","0","0"
12,"Basel-Stadt",2019,"Jura","Privatwälder","Nadelholz","0","0","0","0","0","0","0"
12,"Basel-Stadt",2019,"Jura","Privatwälder","Laubholz","0","0","0","0","0","0","0"
13,"Basel-Landschaft",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","124254","33997","11970","78192","14858","63334","95"
13,"Basel-Landschaft",2019,"Jura","Eigentümertyp - Total","Nadelholz","25405","12871","3323","9116","860","8256","95"
13,"Basel-Landschaft",2019,"Jura","Eigentümertyp - Total","Laubholz","98849","21126","8647","69076","13998","55078","0"
13,"Basel-Landschaft",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","111006","30796","11509","68606","10142","58464","95"
13,"Basel-Landschaft",2019,"Jura","Öffentliche Wälder","Nadelholz","22537","11273","3233","7936","94","7842","95"
13,"Basel-Landschaft",2019,"Jura","Öffentliche Wälder","Laubholz","88469","19523","8276","60670","10048","50622","0"
13,"Basel-Landschaft",2019,"Jura","Privatwälder","Holzartengruppe - Total","13248","3201","461","9586","4716","4870","0"
13,"Basel-Landschaft",2019,"Jura","Privatwälder","Nadelholz","2868","1598","90","1180","766","414","0"
13,"Basel-Landschaft",2019,"Jura","Privatwälder","Laubholz","10380","1603","371","8406","3950","4456","0"
14,"Schaffhausen",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","80633","33494","16560","30579","12815","17764","0"
14,"Schaffhausen",2019,"Jura","Eigentümertyp - Total","Nadelholz","48302","29962","8194","10146","3006","7140","0"
14,"Schaffhausen",2019,"Jura","Eigentümertyp - Total","Laubholz","32331","3532","8366","20433","9809","10624","0"
14,"Schaffhausen",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","74205","31628","15816","26761","11822","14939","0"
14,"Schaffhausen",2019,"Jura","Öffentliche Wälder","Nadelholz","43911","28359","7656","7896","2740","5156","0"
14,"Schaffhausen",2019,"Jura","Öffentliche Wälder","Laubholz","30294","3269","8160","18865","9082","9783","0"
14,"Schaffhausen",2019,"Jura","Privatwälder","Holzartengruppe - Total","6428","1866","744","3818","993","2825","0"
14,"Schaffhausen",2019,"Jura","Privatwälder","Nadelholz","4391","1603","538","2250","266","1984","0"
14,"Schaffhausen",2019,"Jura","Privatwälder","Laubholz","2037","263","206","1568","727","841","0"
15,"Appenzell Ausserrhoden",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
15,"Appenzell Ausserrhoden",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
15,"Appenzell Ausserrhoden",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
15,"Appenzell Ausserrhoden",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
15,"Appenzell Ausserrhoden",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
15,"Appenzell Ausserrhoden",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
15,"Appenzell Ausserrhoden",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
15,"Appenzell Ausserrhoden",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
15,"Appenzell Ausserrhoden",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
16,"Appenzell Innerrhoden",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
16,"Appenzell Innerrhoden",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
16,"Appenzell Innerrhoden",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
16,"Appenzell Innerrhoden",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
16,"Appenzell Innerrhoden",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
16,"Appenzell Innerrhoden",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
16,"Appenzell Innerrhoden",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
16,"Appenzell Innerrhoden",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
16,"Appenzell Innerrhoden",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
17,"St. Gallen",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
17,"St. Gallen",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
17,"St. Gallen",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
17,"St. Gallen",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
17,"St. Gallen",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
17,"St. Gallen",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
17,"St. Gallen",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
17,"St. Gallen",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
17,"St. Gallen",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
18,"Graubünden / Grigioni / Grischun",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
18,"Graubünden / Grigioni / Grischun",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
18,"Graubünden / Grigioni / Grischun",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
18,"Graubünden / Grigioni / Grischun",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
18,"Graubünden / Grigioni / Grischun",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
18,"Graubünden / Grigioni / Grischun",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
18,"Graubünden / Grigioni / Grischun",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
18,"Graubünden / Grigioni / Grischun",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
18,"Graubünden / Grigioni / Grischun",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
19,"Aargau",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","130918","45927","19807","65184","11541","53643","0"
19,"Aargau",2019,"Jura","Eigentümertyp - Total","Nadelholz","69125","35811","11308","22006","1375","20631","0"
19,"Aargau",2019,"Jura","Eigentümertyp - Total","Laubholz","61793","10116","8499","43178","10166","33012","0"
19,"Aargau",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","108080","36360","15814","55906","6727","49179","0"
19,"Aargau",2019,"Jura","Öffentliche Wälder","Nadelholz","55768","27600","8890","19278","92","19186","0"
19,"Aargau",2019,"Jura","Öffentliche Wälder","Laubholz","52312","8760","6924","36628","6635","29993","0"
19,"Aargau",2019,"Jura","Privatwälder","Holzartengruppe - Total","22838","9567","3993","9278","4814","4464","0"
19,"Aargau",2019,"Jura","Privatwälder","Nadelholz","13357","8211","2418","2728","1283","1445","0"
19,"Aargau",2019,"Jura","Privatwälder","Laubholz","9481","1356","1575","6550","3531","3019","0"
20,"Thurgau",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
20,"Thurgau",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
20,"Thurgau",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
20,"Thurgau",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
20,"Thurgau",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
20,"Thurgau",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
20,"Thurgau",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
20,"Thurgau",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
20,"Thurgau",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
21,"Ticino",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
21,"Ticino",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
21,"Ticino",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
21,"Ticino",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
21,"Ticino",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
21,"Ticino",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
21,"Ticino",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
21,"Ticino",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
21,"Ticino",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
22,"Vaud",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","137981","79498","10426","47832","40430","7402","225"
22,"Vaud",2019,"Jura","Eigentümertyp - Total","Nadelholz","94663","75642","8198","10722","8820","1902","101"
22,"Vaud",2019,"Jura","Eigentümertyp - Total","Laubholz","43318","3856","2228","37110","31610","5500","124"
22,"Vaud",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","120812","71424","8899","40264","33694","6570","225"
22,"Vaud",2019,"Jura","Öffentliche Wälder","Nadelholz","84248","68081","7126","8940","7563","1377","101"
22,"Vaud",2019,"Jura","Öffentliche Wälder","Laubholz","36564","3343","1773","31324","26131","5193","124"
22,"Vaud",2019,"Jura","Privatwälder","Holzartengruppe - Total","17169","8074","1527","7568","6736","832","0"
22,"Vaud",2019,"Jura","Privatwälder","Nadelholz","10415","7561","1072","1782","1257","525","0"
22,"Vaud",2019,"Jura","Privatwälder","Laubholz","6754","513","455","5786","5479","307","0"
23,"Valais / Wallis",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
23,"Valais / Wallis",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
23,"Valais / Wallis",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
23,"Valais / Wallis",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
23,"Valais / Wallis",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
23,"Valais / Wallis",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
23,"Valais / Wallis",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
23,"Valais / Wallis",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
23,"Valais / Wallis",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
24,"Neuchâtel",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","136055","85976","12922","37039","12502","24537","118"
24,"Neuchâtel",2019,"Jura","Eigentümertyp - Total","Nadelholz","101365","80661","4521","16143","1779","14364","40"
24,"Neuchâtel",2019,"Jura","Eigentümertyp - Total","Laubholz","34690","5315","8401","20896","10723","10173","78"
24,"Neuchâtel",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","88892","53847","8227","26700","6746","19954","118"
24,"Neuchâtel",2019,"Jura","Öffentliche Wälder","Nadelholz","64784","50251","2679","11814","391","11423","40"
24,"Neuchâtel",2019,"Jura","Öffentliche Wälder","Laubholz","24108","3596","5548","14886","6355","8531","78"
24,"Neuchâtel",2019,"Jura","Privatwälder","Holzartengruppe - Total","47163","32129","4695","10339","5756","4583","0"
24,"Neuchâtel",2019,"Jura","Privatwälder","Nadelholz","36581","30410","1842","4329","1388","2941","0"
24,"Neuchâtel",2019,"Jura","Privatwälder","Laubholz","10582","1719","2853","6010","4368","1642","0"
25,"Genève",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","...","...","...","...","...","...","..."
25,"Genève",2019,"Jura","Eigentümertyp - Total","Nadelholz","...","...","...","...","...","...","..."
25,"Genève",2019,"Jura","Eigentümertyp - Total","Laubholz","...","...","...","...","...","...","..."
25,"Genève",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
25,"Genève",2019,"Jura","Öffentliche Wälder","Nadelholz","...","...","...","...","...","...","..."
25,"Genève",2019,"Jura","Öffentliche Wälder","Laubholz","...","...","...","...","...","...","..."
25,"Genève",2019,"Jura","Privatwälder","Holzartengruppe - Total","...","...","...","...","...","...","..."
25,"Genève",2019,"Jura","Privatwälder","Nadelholz","...","...","...","...","...","...","..."
25,"Genève",2019,"Jura","Privatwälder","Laubholz","...","...","...","...","...","...","..."
26,"Jura",2019,"Jura","Eigentümertyp - Total","Holzartengruppe - Total","174847","70412","50786","53649","17079","36570","0"
26,"Jura",2019,"Jura","Eigentümertyp - Total","Nadelholz","85431","44971","24028","16432","2594","13838","0"
26,"Jura",2019,"Jura","Eigentümertyp - Total","Laubholz","89416","25441","26758","37217","14485","22732","0"
26,"Jura",2019,"Jura","Öffentliche Wälder","Holzartengruppe - Total","159491","62570","46641","50280","13715","36565","0"
26,"Jura",2019,"Jura","Öffentliche Wälder","Nadelholz","76639","39164","21917","15558","1721","13837","0"
26,"Jura",2019,"Jura","Öffentliche Wälder","Laubholz","82852","23407","24723","34722","11994","22728","0"
26,"Jura",2019,"Jura","Privatwälder","Holzartengruppe - Total","15356","7842","4145","3369","3364","5","0"
26,"Jura",2019,"Jura","Privatwälder","Nadelholz","8792","5807","2111","874","873","1","0"
26,"Jura",2019,"Jura","Privatwälder","Laubholz","6564","2034","2035","2495","2491","4","0"
1,"Zürich",2019,"Mittelland","Eigentümertyp - Total","Holzartengruppe - Total","461119","210084","42933","207641","37662","169979","461"
1,"Zürich",2019,"Mittelland","Eigentümertyp - Total","Nadelholz","303126","180833","30681","91316","7657","83659","296"
1,"Zürich",2019,"Mittelland","Eigentümertyp - Total","Laubholz","157993","29251","12252","116325","30005","86320","165"
1,"Zürich",2019,"Mittelland","Öffentliche Wälder","Holzartengruppe - Total","234315","100527","23299","110333","16405","93928","156"
1,"Zürich",2019,"Mittelland","Öffentliche Wälder","Nadelholz","140549","82669","16634","41100","1288","39812","146"
1,"Zürich",2019,"Mittelland","Öffentliche Wälder","Laubholz","93766","17858","6665","69233","15117","54116","10"
1,"Zürich",2019,"Mittelland","Privatwälder","Holzartengruppe - Total","226804","109557","19634","97308","21257","76051","305"
1,"Zürich",2019,"Mittelland","Privatwälder","Nadelholz","162577","98164","14047","50216","6369","43847","150"
1,"Zürich",2019,"Mittelland","Privatwälder","Laubholz","64227","11393","5587","47092","14888","32204","155"
2,"Bern / Berne",2019,"Mittelland","Eigentümertyp - Total","Holzartengruppe - Total","361875","183621","50567","127601","35255","92346","86"
2,"Bern / Berne",2019,"Mittelland","Eigentümertyp - Total","Nadelholz","243296","163780","30405","49092","11146","37946","19"
2,"Bern / Berne",2019,"Mittelland","Eigentümertyp - Total","Laubholz","118579","19841","20162","78509","24109","54400","67"
2,"Bern / Berne",2019,"Mittelland","Öffentliche Wälder","Holzartengruppe - Total","196382","87263","33378","75673","16217","59456","68"
2,"Bern / Berne",2019,"Mittelland","Öffentliche Wälder","Nadelholz","117474","74509","19720","23235","2746","20489","10"
2,"Bern / Berne",2019,"Mittelland","Öffentliche Wälder","Laubholz","78908","12754","13658","52438","13471","38967","58"
2,"Bern / Berne",2019,"Mittelland","Privatwälder","Holzartengruppe - Total","165493","96358","17189","51928","19038","32890","18"
