"id","A_Kanton","D_Jahr","D_Forstzone","D_Eigentümertyp","D_Holzartengruppe","M_Holzernte.Total","M_Stammholz","M_Industrieholz","M_Energieholz.Total","M_Stück.Energieholz","M_X...Hack.Energieholz","M_Übrige.Sortimente"
6,"Obwalden",2019,"Schweiz","Privatwälder","Laubholz","1427","120","371","936","863","73","0"
7,"Nidwalden",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","23820","5585","1162","17053","4557","12496","20"
7,"Nidwalden",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","11134","5274","1078","4782","806","3976","0"
7,"Nidwalden",2019,"Schweiz","Eigentümertyp - Total","Laubholz","12686","311","84","12271","3751","8520","20"
7,"Nidwalden",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","13991","3195","665","10111","1463","8648","20"
7,"Nidwalden",2019,"Schweiz","Öffentliche Wälder","Nadelholz","6010","3057","581","2372","70","2302","0"
7,"Nidwalden",2019,"Schweiz","Öffentliche Wälder","Laubholz","7981","138","84","7739","1393","6346","20"
7,"Nidwalden",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","9829","2390","497","6942","3094","3848","0"
7,"Nidwalden",2019,"Schweiz","Privatwälder","Nadelholz","5124","2217","497","2410","736","1674","0"
7,"Nidwalden",2019,"Schweiz","Privatwälder","Laubholz","4705","173","0","4532","2358","2174","0"
8,"Glarus",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","43360","17271","4194","21854","9373","12481","41"
8,"Glarus",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","25618","17080","1662","6855","853","6002","21"
8,"Glarus",2019,"Schweiz","Eigentümertyp - Total","Laubholz","17742","191","2532","14999","8520","6479","20"
8,"Glarus",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","38347","16244","3355","18724","7297","11427","24"
8,"Glarus",2019,"Schweiz","Öffentliche Wälder","Nadelholz","24008","16068","1500","6419","678","5741","21"
8,"Glarus",2019,"Schweiz","Öffentliche Wälder","Laubholz","14339","176","1855","12305","6619","5686","3"
8,"Glarus",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","5013","1027","839","3130","2076","1054","17"
8,"Glarus",2019,"Schweiz","Privatwälder","Nadelholz","1610","1012","162","436","175","261","0"
8,"Glarus",2019,"Schweiz","Privatwälder","Laubholz","3403","15","677","2694","1901","793","17"
9,"Zug",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","55820","25713","3260","26847","3262","23585","0"
9,"Zug",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","37384","23705","3124","10555","739","9816","0"
9,"Zug",2019,"Schweiz","Eigentümertyp - Total","Laubholz","18436","2008","136","16292","2523","13769","0"
9,"Zug",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","37886","17524","2820","17542","2054","15488","0"
9,"Zug",2019,"Schweiz","Öffentliche Wälder","Nadelholz","25754","16303","2755","6696","384","6312","0"
9,"Zug",2019,"Schweiz","Öffentliche Wälder","Laubholz","12132","1221","65","10846","1670","9176","0"
9,"Zug",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","17934","8189","440","9305","1208","8097","0"
9,"Zug",2019,"Schweiz","Privatwälder","Nadelholz","11630","7402","369","3859","355","3504","0"
9,"Zug",2019,"Schweiz","Privatwälder","Laubholz","6304","787","71","5446","853","4593","0"
10,"Fribourg / Freiburg",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","255683","132626","12201","110711","28875","81836","145"
10,"Fribourg / Freiburg",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","189527","129216","11787","48399","5767","42632","125"
10,"Fribourg / Freiburg",2019,"Schweiz","Eigentümertyp - Total","Laubholz","66156","3410","414","62312","23108","39204","20"
10,"Fribourg / Freiburg",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","186995","97158","8895","80867","16347","64520","74"
10,"Fribourg / Freiburg",2019,"Schweiz","Öffentliche Wälder","Nadelholz","139338","94571","8523","36190","1692","34498","54"
10,"Fribourg / Freiburg",2019,"Schweiz","Öffentliche Wälder","Laubholz","47657","2587","372","44678","14655","30023","20"
10,"Fribourg / Freiburg",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","68688","35468","3306","29844","12528","17316","71"
10,"Fribourg / Freiburg",2019,"Schweiz","Privatwälder","Nadelholz","50189","34645","3264","12209","4075","8134","71"
10,"Fribourg / Freiburg",2019,"Schweiz","Privatwälder","Laubholz","18499","823","42","17634","8453","9181","0"
11,"Solothurn",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","187034","67788","44457","74736","29541","45195","53"
11,"Solothurn",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","88816","52446","22431","13916","3578","10338","23"
11,"Solothurn",2019,"Schweiz","Eigentümertyp - Total","Laubholz","98218","15342","22026","60820","25963","34857","30"
11,"Solothurn",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","159644","60534","41498","57559","12961","44598","53"
11,"Solothurn",2019,"Schweiz","Öffentliche Wälder","Nadelholz","78871","47179","21085","10584","345","10239","23"
11,"Solothurn",2019,"Schweiz","Öffentliche Wälder","Laubholz","80773","13355","20413","46975","12616","34359","30"
11,"Solothurn",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","27390","7254","2959","17177","16580","597","0"
