 "taxonLabel" , "artenGruppeLabel" , "status" , "year" , "totalSpecies" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "1" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "9" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "1" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "2" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2005-01-01" , "0" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2005-01-01" , "3" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2005-01-01" , "7" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2005-01-01" , "5" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "2005-01-01" , "0" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "2005-01-01" , "4" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/DD" , "2005-01-01" , "0" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2020-01-01" , "0" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2020-01-01" , "0" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2020-01-01" , "0" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2020-01-01" , "0" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "2020-01-01" , "0" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "2020-01-01" , "0" ,
 "Reptilia" , "Reptilien" , "https://environment.ld.admin.ch/foen/red-lists/status/DD" , "2020-01-01" , "0" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "3" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "1" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "3" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "12" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "0" ,
