"subject","predicate","object"
"https://register.ld.admin.ch/opendataswiss/category/prices","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/opendataswiss/category"
"https://register.ld.admin.ch/opendataswiss/category/prices","http://schema.org/name","Prices"
"https://energy.ld.admin.ch/elcom/electricityprice-swiss","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/energy"
"https://register.ld.admin.ch/opendataswiss/category/energy","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/opendataswiss/category"
"https://register.ld.admin.ch/opendataswiss/category/energy","http://schema.org/name","Energy"
"https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://cube.link/Cube"
"https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/4","http://schema.org/name","Modellergebnisse EP2050+: Szenario ZERO Basis, KKW-Laufzeit 50 Jahre, ausgeglichene Jahresbilanz"
"https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/4","http://schema.org/description","Der Datensatz enthält die Ergebnisse der fünf Hauptszenarien, die im Rahmen des Projekts EP2050+ erstellt wurden. Die Ergebnisse zeigen Pfade einer Weiter-wie-bisher Entwicklung auf, die einem Fortbestehen aktueller Rahmenbedingungen beruht, sowie mehrer ZERO-Szenarien, in denen auf unterschiedlichen Pfaden das Ziel erreicht wird, im Jahr 2045 netto treibhausgasneutral zu sein. Dargestellt sind die modellierten Jahreswerte der Energieverbräuche und der damit einhergehenden Treibhausgasemissionen. In den zugrundeliegenden Energiemodellen, werden diese Grössen nach den drei Dimensionen Sektor/Branche, Verwendungszweck/Anwendung und Energieträger(-gruppe) aufgeschlüsselt. Der hier veröffentlichte Datensatz entspricht nicht der feinsten Auflösungsstufe, sondern stellt die Grössen nach zwei Dimensionen aufgeschlüsselt dar, die vom Benutzer spezifizert werden können. Die folgenden sieben Darstellungsformen für Energieverbrauch/ THG-Emissionen sind möglich: * Darstellung nach Sektor und Branche * Darstellung nach Sektor und Verwendungszweck * Darstellung nach Sektor und Energieträger * Darstellung nach Verwendungszweckgruppe und Verwendungszweck * Darstellung nach Verwendungszweckgruppe und Energieträger * Darstellung nach Energieträgergruppe und Energieträger * Darstellung nach Energieträgergruppe und Verwendungszweck. Eine Auflistung der jeweiligen Ausprägungen der verschiedenen Dimensionen ist im File ogd56_catalog.csv gegeben. Die Daten sind in der Konvention angegeben, dass Energieverbräuche, -exporte und THG-Emissionen mit einem positiven Vorzeichen versehen sind, die Erzeugung eines Energieträgers, dessen Import oder die Abscheidung von Emissionen sind mit einem negative Vorzeichen versehen."
"https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/4","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/energy"
"https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/4","http://purl.org/dc/terms/publisher","Bundesamt für Energie BFE"
"https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/4","http://schema.org/creator","https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-energie-bfe"
"https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/4","http://schema.org/workExample","https://ld.admin.ch/application/visualize"
"https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/4","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/4","https://cube.link/observationConstraint","https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/4/shape/"
"https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/4","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/4","http://schema.org/datePublished","2022-02-01"
"https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-energie-bfe","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/opendataswiss/org"
"https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-energie-bfe","http://schema.org/name","Swiss Federal Office of Energy SFOE"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-warnung/1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://cube.link/Cube"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-warnung/1","http://schema.org/name","Forest fire danger"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-warnung/1","http://schema.org/description","The FOEN's forest fire danger warning contains the general daily forest fire danger based on meteorological data and the resulting forest fire indices."
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-warnung/1","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/territory"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-warnung/1","http://schema.org/about","https://register.ld.admin.ch/foen/theme/14"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-warnung/1","http://purl.org/dc/terms/publisher","Bundesamt für Umwelt BAFU"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-warnung/1","http://schema.org/creator","https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-umwelt-bafu"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-warnung/1","http://schema.org/workExample","https://ld.admin.ch/application/visualize"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-warnung/1","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-warnung/1","https://cube.link/observationConstraint","https://environment.ld.admin.ch/foen/gefahren-waldbrand-warnung/1/shape/"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-warnung/1","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-warnung/1","http://schema.org/datePublished","2023-03-15"
"https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-umwelt-bafu","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/opendataswiss/org"
"https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-umwelt-bafu","http://schema.org/name","Federal Office for the Environment FOEN"
"https://register.ld.admin.ch/opendataswiss/category/territory","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/opendataswiss/category"
"https://register.ld.admin.ch/opendataswiss/category/territory","http://schema.org/name","Territory and environment"
"https://register.ld.admin.ch/foen/theme/14","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/foen/theme"
"https://register.ld.admin.ch/foen/theme/14","http://schema.org/name","Forest and wood"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-warnung/1","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/agriculture"
"https://register.ld.admin.ch/opendataswiss/category/agriculture","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/opendataswiss/category"
"https://register.ld.admin.ch/opendataswiss/category/agriculture","http://schema.org/name","Agriculture, forestry"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-praeventionsmassnahmen-kantone/1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://cube.link/Cube"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-praeventionsmassnahmen-kantone/1","http://schema.org/name","Forest fire prevention measures"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-praeventionsmassnahmen-kantone/1","http://schema.org/description","Contains the forest fire prevention measures currently in force in the cantons."
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-praeventionsmassnahmen-kantone/1","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/territory"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-praeventionsmassnahmen-kantone/1","http://schema.org/about","https://register.ld.admin.ch/foen/theme/14"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-praeventionsmassnahmen-kantone/1","http://purl.org/dc/terms/publisher","Bundesamt für Umwelt BAFU"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-praeventionsmassnahmen-kantone/1","http://schema.org/creator","https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-umwelt-bafu"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-praeventionsmassnahmen-kantone/1","http://schema.org/workExample","https://ld.admin.ch/application/visualize"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-praeventionsmassnahmen-kantone/1","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-praeventionsmassnahmen-kantone/1","https://cube.link/observationConstraint","https://environment.ld.admin.ch/foen/gefahren-waldbrand-praeventionsmassnahmen-kantone/1/shape/"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-praeventionsmassnahmen-kantone/1","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-praeventionsmassnahmen-kantone/1","http://schema.org/datePublished","2023-03-15"
"https://register.ld.admin.ch/opendataswiss/category/territory","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/opendataswiss/category"
"https://register.ld.admin.ch/opendataswiss/category/territory","http://schema.org/name","Territory and environment"
"https://environment.ld.admin.ch/foen/gefahren-waldbrand-praeventionsmassnahmen-kantone/1","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/agriculture"
"https://register.ld.admin.ch/opendataswiss/category/agriculture","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/opendataswiss/category"
"https://register.ld.admin.ch/opendataswiss/category/agriculture","http://schema.org/name","Agriculture, forestry"
"https://environment.ld.admin.ch/foen/ubd0066/12","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://cube.link/Cube"
"https://environment.ld.admin.ch/foen/ubd0066/12","http://schema.org/name","Heavy Metal Soil Contamination"
"https://environment.ld.admin.ch/foen/ubd0066/12","http://schema.org/description","The measurement data are the surveyed mean values of heavy metal concentrations recorded in the top 20 cm of the soil in around 100 permanent monitoring sites operated by the Swiss National Soil Monitoring Network (NABO)."
