"subject","predicate","object"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","https://cube.link/observationConstraint","https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7/shape/"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/territory"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://purl.org/dc/terms/publisher","Bundesamt für Energie BFE"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/about","https://register.ld.admin.ch/foen/theme/15"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/creator","https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-energie-bfe"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/datePublished","2022-03-24"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/description","Die «Statistik der Wasserkraftanlagen (WASTA)» enthält Daten zu den Zentralen der schweizerischen Wasserkraftanlagen mit einer Leistung von mindestens 300 kW. Enthalten sind unter anderem technische Daten wie Leistung und Produktionserwartung."
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/name","Statistik der Wasserkraftanlagen (WASTA)"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/workExample","https://ld.admin.ch/application/visualize"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","https://visualize.admin.ch/hasDimension","https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/YearOfStatistic"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","https://visualize.admin.ch/hasThemeIris","https://register.ld.admin.ch/opendataswiss/category/territory|||https://register.ld.admin.ch/opendataswiss/category/energy|||https://register.ld.admin.ch/opendataswiss/category/geography|||https://register.ld.admin.ch/opendataswiss/category/culture"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","https://visualize.admin.ch/hasThemeLabels","Raum und Umwelt|||Energie|||Geographie|||Kultur, Medien, Informationsgesellschaft, Sport"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/YearOfStatistic","https://visualize.admin.ch/hasTimeUnit","http://www.w3.org/2006/time#unitYear"
"https://register.ld.admin.ch/opendataswiss/category/territory","http://schema.org/name","Raum und Umwelt"
"https://register.ld.admin.ch/foen/theme/15","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/foen/theme"
"https://register.ld.admin.ch/foen/theme/15","http://schema.org/name","Wasser"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/about","https://register.ld.admin.ch/foen/theme/16"
"https://register.ld.admin.ch/foen/theme/16","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/foen/theme"
"https://register.ld.admin.ch/foen/theme/16","http://schema.org/name","Wirtschaft und Konsum"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/energy"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/about","https://register.ld.admin.ch/foen/theme/15"
"https://register.ld.admin.ch/opendataswiss/category/energy","http://schema.org/name","Energie"
"https://register.ld.admin.ch/foen/theme/15","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/foen/theme"
"https://register.ld.admin.ch/foen/theme/15","http://schema.org/name","Wasser"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/about","https://register.ld.admin.ch/foen/theme/16"
"https://register.ld.admin.ch/foen/theme/16","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/foen/theme"
"https://register.ld.admin.ch/foen/theme/16","http://schema.org/name","Wirtschaft und Konsum"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/geography"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/about","https://register.ld.admin.ch/foen/theme/15"
"https://register.ld.admin.ch/opendataswiss/category/geography","http://schema.org/name","Geographie"
"https://register.ld.admin.ch/foen/theme/15","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/foen/theme"
"https://register.ld.admin.ch/foen/theme/15","http://schema.org/name","Wasser"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/about","https://register.ld.admin.ch/foen/theme/16"
"https://register.ld.admin.ch/foen/theme/16","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/foen/theme"
"https://register.ld.admin.ch/foen/theme/16","http://schema.org/name","Wirtschaft und Konsum"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/culture"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/about","https://register.ld.admin.ch/foen/theme/15"
"https://register.ld.admin.ch/opendataswiss/category/culture","http://schema.org/name","Kultur, Medien, Informationsgesellschaft, Sport"
"https://register.ld.admin.ch/foen/theme/15","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/foen/theme"
"https://register.ld.admin.ch/foen/theme/15","http://schema.org/name","Wasser"
"https://energy.ld.admin.ch/sfoe/bfe_ogd40_wasta/7","http://schema.org/about","https://register.ld.admin.ch/foen/theme/16"
"https://register.ld.admin.ch/foen/theme/16","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/foen/theme"
"https://register.ld.admin.ch/foen/theme/16","http://schema.org/name","Wirtschaft und Konsum"
"https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/7","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://cube.link/Cube"
"https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/7","https://cube.link/observationConstraint","https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/7/shape/"
"https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/7","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/territory"
