Jahr,Forstzone_id,Forstzone,Kanton_id,Kanton,Eigentümertyp_id,Eigentümertyp,Holzartengruppe_id,Holzartengruppe,Holzernte - Total,Stammholz,Industrieholz,Energieholz - Total,>> Stück-Energieholz,>> Hack-Energieholz,Übrige Sortimente
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,37886,17524,2820,17542,2054,15488,0
,,,,,,,1,Nadelholz,25754,16303,2755,6696,384,6312,0
,,,,,,,2,Laubholz,12132,1221,65,10846,1670,9176,0
,,,,,23,Privatwälder,0,Holzartengruppe - Total,17934,8189,440,9305,1208,8097,0
,,,,,,,1,Nadelholz,11630,7402,369,3859,355,3504,0
,,,,,,,2,Laubholz,6304,787,71,5446,853,4593,0
,,,10,Fribourg / Freiburg,0,Eigentümertyp - Total,0,Holzartengruppe - Total,255683,132626,12201,110711,28875,81836,145
,,,,,,,1,Nadelholz,189527,129216,11787,48399,5767,42632,125
,,,,,,,2,Laubholz,66156,3410,414,62312,23108,39204,20
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,186995,97158,8895,80867,16347,64520,74
,,,,,,,1,Nadelholz,139338,94571,8523,36190,1692,34498,54
,,,,,,,2,Laubholz,47657,2587,372,44678,14655,30023,20
,,,,,23,Privatwälder,0,Holzartengruppe - Total,68688,35468,3306,29844,12528,17316,71
,,,,,,,1,Nadelholz,50189,34645,3264,12209,4075,8134,71
,,,,,,,2,Laubholz,18499,823,42,17634,8453,9181,0
,,,11,Solothurn,0,Eigentümertyp - Total,0,Holzartengruppe - Total,187034,67788,44457,74736,29541,45195,53
,,,,,,,1,Nadelholz,88816,52446,22431,13916,3578,10338,23
,,,,,,,2,Laubholz,98218,15342,22026,60820,25963,34857,30
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,159644,60534,41498,57559,12961,44598,53
,,,,,,,1,Nadelholz,78871,47179,21085,10584,345,10239,23
,,,,,,,2,Laubholz,80773,13355,20413,46975,12616,34359,30
,,,,,23,Privatwälder,0,Holzartengruppe - Total,27390,7254,2959,17177,16580,597,0
,,,,,,,1,Nadelholz,9945,5267,1346,3332,3233,99,0
,,,,,,,2,Laubholz,17445,1987,1613,13845,13347,498,0
,,,12,Basel-Stadt,0,Eigentümertyp - Total,0,Holzartengruppe - Total,3300,450,251,2599,0,2599,0
,,,,,,,1,Nadelholz,228,150,63,15,0,15,0
,,,,,,,2,Laubholz,3072,300,188,2584,0,2584,0
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,3300,450,251,2599,0,2599,0
,,,,,,,1,Nadelholz,228,150,63,15,0,15,0
,,,,,,,2,Laubholz,3072,300,188,2584,0,2584,0
,,,,,23,Privatwälder,0,Holzartengruppe - Total,0,0,0,0,0,0,0
,,,,,,,1,Nadelholz,0,0,0,0,0,0,0
,,,,,,,2,Laubholz,0,0,0,0,0,0,0
,,,13,Basel-Landschaft,0,Eigentümertyp - Total,0,Holzartengruppe - Total,124254,33997,11970,78192,14858,63334,95
,,,,,,,1,Nadelholz,25405,12871,3323,9116,860,8256,95
,,,,,,,2,Laubholz,98849,21126,8647,69076,13998,55078,0
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,111006,30796,11509,68606,10142,58464,95
,,,,,,,1,Nadelholz,22537,11273,3233,7936,94,7842,95
,,,,,,,2,Laubholz,88469,19523,8276,60670,10048,50622,0
,,,,,23,Privatwälder,0,Holzartengruppe - Total,13248,3201,461,9586,4716,4870,0
,,,,,,,1,Nadelholz,2868,1598,90,1180,766,414,0
,,,,,,,2,Laubholz,10380,1603,371,8406,3950,4456,0
,,,14,Schaffhausen,0,Eigentümertyp - Total,0,Holzartengruppe - Total,92764,39106,18273,35385,13755,21630,0
,,,,,,,1,Nadelholz,58727,35247,9720,13760,3556,10204,0
,,,,,,,2,Laubholz,34037,3859,8553,21625,10199,11426,0
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,83138,35731,17134,30273,12372,17901,0
,,,,,,,1,Nadelholz,51608,32215,8787,10606,3090,7516,0
,,,,,,,2,Laubholz,31530,3516,8347,19667,9282,10385,0
,,,,,23,Privatwälder,0,Holzartengruppe - Total,9626,3375,1139,5112,1383,3729,0
,,,,,,,1,Nadelholz,7119,3032,933,3154,466,2688,0
,,,,,,,2,Laubholz,2507,343,206,1958,917,1041,0
,,,15,Appenzell Ausserrhoden,0,Eigentümertyp - Total,0,Holzartengruppe - Total,52346,32340,1828,18121,3488,14633,57
,,,,,,,1,Nadelholz,45519,31738,1372,12379,1503,10876,30
,,,,,,,2,Laubholz,6827,602,456,5742,1985,3757,27
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,10849,7211,471,3160,705,2455,7
,,,,,,,1,Nadelholz,9645,7094,465,2081,150,1931,5
,,,,,,,2,Laubholz,1204,117,6,1079,555,524,2
,,,,,23,Privatwälder,0,Holzartengruppe - Total,41497,25129,1357,14961,2783,12178,50
,,,,,,,1,Nadelholz,35874,24644,907,10298,1353,8945,25
,,,,,,,2,Laubholz,5623,485,450,4663,1430,3233,25
,,,16,Appenzell Innerrhoden,0,Eigentümertyp - Total,0,Holzartengruppe - Total,26936,22268,138,4530,3087,1443,0
,,,,,,,1,Nadelholz,26671,22128,138,4405,2962,1443,0
,,,,,,,2,Laubholz,265,140,0,125,125,0,0
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,10044,7820,0,2224,781,1443,0
,,,,,,,1,Nadelholz,10022,7811,0,2211,768,1443,0
,,,,,,,2,Laubholz,22,9,0,13,13,0,0
,,,,,23,Privatwälder,0,Holzartengruppe - Total,16892,14448,138,2306,2306,0,0
,,,,,,,1,Nadelholz,16649,14317,138,2194,2194,0,0
,,,,,,,2,Laubholz,243,131,0,112,112,0,0
,,,17,St. Gallen,0,Eigentümertyp - Total,0,Holzartengruppe - Total,262488,136519,15591,110138,45247,64891,240
,,,,,,,1,Nadelholz,167712,120302,7554,39670,10291,29379,186
,,,,,,,2,Laubholz,94776,16217,8037,70468,34956,35512,54
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,142071,75867,5632,60522,16753,43769,50
,,,,,,,1,Nadelholz,94644,68801,3508,22289,2469,19820,46
,,,,,,,2,Laubholz,47427,7066,2124,38233,14284,23949,4
,,,,,23,Privatwälder,0,Holzartengruppe - Total,120417,60652,9959,49616,28494,21122,190
,,,,,,,1,Nadelholz,73068,51501,4046,17381,7822,9559,140
,,,,,,,2,Laubholz,47349,9151,5913,32235,20672,11563,50
,,,18,Graubünden / Grigioni / Grischun,0,Eigentümertyp - Total,0,Holzartengruppe - Total,354506,212751,3898,137725,75468,62257,132
,,,,,,,1,Nadelholz,335487,212176,3623,119574,66517,53057,114
,,,,,,,2,Laubholz,19019,575,275,18151,8951,9200,18
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,317276,192743,1448,122956,65902,57054,129
,,,,,,,1,Nadelholz,304077,192237,1292,110434,60599,49835,114
,,,,,,,2,Laubholz,13199,506,156,12522,5303,7219,15
,,,,,23,Privatwälder,0,Holzartengruppe - Total,37230,20008,2450,14769,9566,5203,3
,,,,,,,1,Nadelholz,31410,19939,2331,9140,5918,3222,0
,,,,,,,2,Laubholz,5820,69,119,5629,3648,1981,3
,,,19,Aargau,0,Eigentümertyp - Total,0,Holzartengruppe - Total,401833,157389,49945,194407,39774,154633,92
,,,,,,,1,Nadelholz,233978,128618,31917,73381,6916,66465,62
,,,,,,,2,Laubholz,167855,28771,18028,121026,32858,88168,30
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,328888,126757,41223,160908,24303,136605,0
,,,,,,,1,Nadelholz,187545,102655,25753,59137,1479,57658,0
,,,,,,,2,Laubholz,141343,24102,15470,101771,22824,78947,0
,,,,,23,Privatwälder,0,Holzartengruppe - Total,72945,30632,8722,33499,15471,18028,92
,,,,,,,1,Nadelholz,46433,25963,6164,14244,5437,8807,62
,,,,,,,2,Laubholz,26512,4669,2558,19255,10034,9221,30
,,,20,Thurgau,0,Eigentümertyp - Total,0,Holzartengruppe - Total,149402,70834,7670,70770,21300,49470,128
,,,,,,,1,Nadelholz,104082,62378,7400,34258,4971,29287,46
,,,,,,,2,Laubholz,45320,8456,270,36512,16329,20183,82
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,64887,30404,2899,31503,8983,22520,81
,,,,,,,1,Nadelholz,40412,25362,2712,12334,888,11446,4
,,,,,,,2,Laubholz,24475,5042,187,19169,8095,11074,77
,,,,,23,Privatwälder,0,Holzartengruppe - Total,84515,40430,4771,39267,12317,26950,47
,,,,,,,1,Nadelholz,63670,37016,4688,21924,4083,17841,42
,,,,,,,2,Laubholz,20845,3414,83,17343,8234,9109,5
